Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8576902;2616294.123302657;1229863.1092209562;Wangenried, Linde;0;0;22;0;0;76.36;0
8576903;2616540.7340100813;1229760.0593475343;Wangenried, Schule;0;0;22;0;0;76.36;0
8576904;2616942.9719905597;1229485.8015078416;Wangenried, Sägerei;0;0;22;0;0;76.36;0
8576906;2618285.003720916;1228560.3213445393;Röthenbach b. H., Schützenhaus;0;0;29;0;0;57.93;5
8576907;2774244.0137442877;1203548.8127939072;Stels, Crals;0;0;15;0;0;112;0
8576908;2618865.0598474382;1227859.8210310875;Röthenbach b. H., Chrump;0;0;31;0;0;54.19;5
8576909;2617904.137834265;1230959.7140072405;Walliswil b. Wangen, Seilerei;0;0;22;0;0;76.36;0
8576910;2618292.2833127407;1231051.8359188593;Walliswil b. Wangen, Post;0;0;22;0;0;76.36;0
8576911;2618498.855423533;1231131.8546924226;Walliswil b. Wangen, Sonne;0;0;22;0;0;76.36;0
8576912;2618803.0851732707;1230668.1936494706;Walliswil b. Wangen, Tal;0;0;22;0;0;76.36;0
8576913;2619734.821229554;1228918.3770098204;Heimenhausen, Riedgasse;0;0;21;0;0;80;0
8576914;2619739.045606429;1228672.132716774;Heimenhausen, Post;0;0;21;0;0;80;0
8576915;2619308.638697317;1227715.3762624946;Wanzwil, Post;0;0;72;0;0;23.33;5
8576916;2619846.901098485;1227132.7963185157;Herzogenbuchsee, Jurablick;0;0;44;0;0;38.18;5
8576917;2619912.017817098;1226400.1343747433;Herzogenbuchsee, Bahnhof;0;0;214;0;0;7.85;3
8576918;2620268.7972178953;1226389.7740431312;Herzogenbuchsee, Sonnenplatz;0;0;74;0;0;22.7;5
8576919;2620501.9276777105;1226896.8710351663;Herzogenbuchsee, Friedhof;0;0;74;0;0;22.7;5
8576920;2622725.638498251;1228967.7206715827;Bützberg, Neuquartier;0;0;75;0;0;22.4;5
8576921;2623312.9651145376;1229476.7385179969;Bützberg, Käserei;0;0;75;0;0;22.4;5
